State name,2023 Total Population,2023 High School Grad Rate,2022 Total Population,2022 High School Grad Rate,2021 Total Population,2021 High School Grad Rate,Average High School Graduation Rate (2021-2023),Average Population (2021-2023)
Alabama,3978822.0,89.15,3963268.0,88.71,3919935.0,87.77,88.08,3954008
Alaska,559040.0,92.49,557838.0,92.75,553272.0,92.52,92.6,556716
Arizona,5851265.0,88.98,5771594.0,88.73,5662032.0,88.53,88.6,5761630
Arkansas,2366744.0,88.99,2349805.0,88.91,2322098.0,88.65,88.74,2346215
California,30527864.0,85.45,30530336.0,85.41,30468057.0,85.15,85.24,30508752
Colorado,4666930.0,92.82,4628831.0,92.56,4570122.0,91.89,92.11,4621961
Connecticut,2894552.0,91.65,2895781.0,91.4,2878358.0,91.11,91.21,2889563
Delaware,819965.0,91.06,810169.0,91.43,794867.0,90.96,91.12,808333
District of Columbia,552446.0,92.59,547559.0,93.65,544321.0,92.76,93.06,548108
Florida,18231710.0,89.98,17949929.0,89.68,17493305.0,89.5,89.56,17891648
Georgia,8494879.0,89.03,8407208.0,89.05,8277442.0,88.56,88.72,8393176
Hawaii,1141251.0,92.77,1143330.0,92.68,1137352.0,92.98,92.88,1140644
Idaho,1498335.0,91.35,1474413.0,91.33,1430937.0,90.71,90.92,1467895
Illinois,9848062.0,90.44,9865826.0,90.28,9871292.0,90.08,90.15,9861726
Indiana,5281293.0,89.91,5263663.0,89.6,5220587.0,90.13,89.95,5255181
Iowa,2481457.0,92.79,2483769.0,92.97,2456095.0,92.78,92.84,2473773
Kansas,2253783.0,91.34,2248938.0,91.57,2232376.0,91.4,91.46,2245032
Kentucky,3514417.0,89.47,3507430.0,88.88,3493939.0,88.19,88.42,3505262
Louisiana,3510313.0,87.6,3531381.0,87.16,3542004.0,86.49,86.71,3527899
Maine,1149944.0,94.46,1139849.0,94.31,1122572.0,94.16,94.21,1137455
Maryland,4821332.0,90.66,4817929.0,91.09,4805032.0,90.84,90.92,4814764
Massachusetts,5659960.0,91.33,5645986.0,91.25,5622783.0,91.01,91.09,5642909
Michigan,7926790.0,91.53,7927890.0,91.43,7898874.0,91.53,91.5,7917851
Minnesota,4442940.0,93.69,4428971.0,93.28,4398409.0,93.48,93.41,4423440
Mississippi,2264456.0,87.82,2263972.0,87.24,2258080.0,86.45,86.71,2262169
Missouri,4824817.0,91.67,4815166.0,91.26,4784650.0,91.19,91.21,4808211
Montana,897250.0,93.51,888685.0,93.42,869424.0,93.76,93.65,885119
Nebraska,1499785.0,92.29,1493226.0,92.26,1481490.0,91.66,91.86,1491500
Nevada,2509660.0,87.41,2488119.0,87.31,2446372.0,87.07,87.15,2481383
New Hampshire,1151339.0,94.03,1143538.0,93.82,1132738.0,94.13,94.03,1142538
New Jersey,7281676.0,90.54,7271522.0,90.53,7246254.0,90.93,90.8,7266484
New Mexico,1665813.0,87.17,1657869.0,87.69,1644069.0,86.7,87.03,1655917
New York,15620467.0,88.59,15695913.0,88.2,15732347.0,88.3,88.27,15682909
North Carolina,8512992.0,90.37,8406045.0,90.04,8251416.0,89.65,89.78,8390151
North Dakota,604326.0,93.97,598296.0,93.58,592359.0,93.15,93.29,598327
Ohio,9215314.0,91.44,9197902.0,91.27,9176607.0,91.35,91.32,9196607
Oklahoma,3088080.0,89.06,3066378.0,89.14,3028701.0,88.24,88.54,3061053
Oregon,3403557.0,91.64,3407770.0,91.15,3387489.0,91.39,91.31,3399605
Pennsylvania,10337054.0,91.85,10349850.0,91.74,10289829.0,91.5,91.58,10325577
Rhode Island,892705.0,89.69,890588.0,90.14,887289.0,89.11,89.45,890194
South Carolina,4231317.0,89.96,4165492.0,90.13,4074709.0,89.27,89.56,4157172
South Dakota,700511.0,92.29,690843.0,92.39,674755.0,92.06,92.17,688703
Tennessee,5563129.0,90.1,5516206.0,90.31,5437603.0,89.68,89.89,5505646
Texas,22963044.0,86.41,22589909.0,86.07,22071394.0,85.47,85.67,22541449
Utah,2483829.0,92.39,2450207.0,92.42,2392518.0,92.47,92.45,2442184
Vermont,532638.0,95.0,533330.0,94.31,528803.0,94.09,94.16,531590
Virginia,6843521.0,91.42,6821532.0,91.42,6760456.0,91.37,91.39,6808503
Washington,6165688.0,91.92,6141759.0,91.63,6062910.0,91.79,91.74,6123452
West Virginia,1418429.0,88.96,1423613.0,89.13,1421567.0,88.83,88.93,1421203
Wisconsin,4666877.0,93.32,4650759.0,92.99,4621303.0,92.84,92.89,4646313
Wyoming,454092.0,93.2,451778.0,92.6,447274.0,93.06,92.91,451048
Puerto Rico,2707004.0,83.25,2703453.0,82.91,2717796.0,81.18,81.76,2709417
