,Year,State name,Deaths by overdose
0,2021,Alaska,255
1,2022,Alaska,247
2,2023,Alaska,357
3,2021,Alabama,1333
4,2022,Alabama,1452
5,2023,Alabama,1598
6,2021,Arkansas,627
7,2022,Arkansas,591
8,2023,Arkansas,517
9,2021,Arizona,2780
10,2022,Arizona,2737
11,2023,Arizona,2720
12,2021,California,11398
13,2022,California,11761
14,2023,California,12367
15,2021,Colorado,1917
16,2022,Colorado,1856
17,2023,Colorado,1926
18,2021,Connecticut,1562
19,2022,Connecticut,1476
20,2023,Connecticut,1330
21,2021,District of Columbia,541
22,2022,District of Columbia,575
23,2023,District of Columbia,635
24,2021,Delaware,502
25,2022,Delaware,544
26,2023,Delaware,527
27,2021,Florida,8163
28,2022,Florida,7894
29,2023,Florida,7329
30,2021,Georgia,2438
31,2022,Georgia,2619
32,2023,Georgia,2520
33,2021,Hawaii,267
34,2022,Hawaii,283
35,2023,Hawaii,321
36,2021,Iowa,471
37,2022,Iowa,473
38,2023,Iowa,446
39,2021,Idaho,345
40,2022,Idaho,362
41,2023,Idaho,367
42,2021,Illinois,3786
43,2022,Illinois,3863
44,2023,Illinois,3537
45,2021,Indiana,2789
46,2022,Indiana,2666
47,2023,Indiana,2193
48,2021,Kansas,682
49,2022,Kansas,755
50,2023,Kansas,641
51,2021,Kentucky,2397
52,2022,Kentucky,2309
53,2023,Kentucky,2130
54,2021,Louisiana,2512
55,2022,Louisiana,2433
56,2023,Louisiana,2254
57,2021,Massachusetts,2555
58,2022,Massachusetts,2647
59,2023,Massachusetts,2380
60,2021,Maryland,2724
61,2022,Maryland,2523
62,2023,Maryland,2493
63,2021,Maine,620
64,2022,Maine,706
65,2023,Maine,593
66,2021,Michigan,3092
67,2022,Michigan,2969
68,2023,Michigan,2885
69,2021,Minnesota,1344
70,2022,Minnesota,1392
71,2023,Minnesota,1341
72,2021,Missouri,2195
73,2022,Missouri,2212
74,2023,Missouri,2014
75,2021,Mississippi,746
76,2022,Mississippi,702
77,2023,Mississippi,633
78,2021,Montana,189
79,2022,Montana,191
80,2023,Montana,184
81,2021,North Carolina,3900
82,2022,North Carolina,4255
83,2023,North Carolina,3489
84,2021,North Dakota,136
85,2022,North Dakota,141
86,2023,North Dakota,127
87,2021,Nebraska,218
88,2022,Nebraska,223
89,2023,Nebraska,171
90,2021,New Hampshire,433
91,2022,New Hampshire,484
92,2023,New Hampshire,430
93,2021,New Jersey,3009
94,2022,New Jersey,2945
95,2023,New Jersey,2667
96,2021,New Mexico,1040
97,2022,New Mexico,1007
98,2023,New Mexico,994
99,2021,Nevada,1039
100,2022,Nevada,1127
101,2023,Nevada,1400
102,2021,New York,3170
103,2022,New York,3401
104,2023,New York,3408
105,2021,Ohio,5405
106,2022,Ohio,5144
107,2023,Ohio,4745
108,2021,Oklahoma,934
109,2022,Oklahoma,1183
110,2023,Oklahoma,1258
111,2021,Oregon,1181
112,2022,Oregon,1387
113,2023,Oregon,1851
114,2021,Pennsylvania,5444
115,2022,Pennsylvania,5212
116,2023,Pennsylvania,4746
117,2021,Rhode Island,460
118,2022,Rhode Island,452
119,2023,Rhode Island,416
120,2021,South Carolina,2166
121,2022,South Carolina,2292
122,2023,South Carolina,2153
123,2021,South Dakota,101
124,2022,South Dakota,84
125,2023,South Dakota,84
126,2021,Tennessee,3861
127,2022,Tennessee,3862
128,2023,Tennessee,3693
129,2021,Texas,4912
130,2022,Texas,5457
131,2023,Texas,5727
132,2021,United States,107573
133,2022,United States,109413
134,2023,United States,106876
135,2021,Utah,675
136,2022,Utah,646
137,2023,Utah,698
138,2021,Virginia,2603
139,2022,Virginia,2491
140,2023,Virginia,2452
141,2021,Vermont,251
142,2022,Vermont,266
143,2023,Vermont,246
144,2021,Washington,2264
145,2022,Washington,2753
146,2023,Washington,3512
147,2021,Wisconsin,1759
148,2022,Wisconsin,1780
149,2023,Wisconsin,1744
150,2021,West Virginia,1506
151,2022,West Virginia,1318
152,2023,West Virginia,1389
153,2021,Wyoming,101
154,2022,Wyoming,123
155,2023,Wyoming,127
156,2021,New York City,2775
157,2022,New York City,3142
158,2023,New York City,3111
