,State name,lat,lon
0,Alabama,32.7794,-86.8287
1,Alaska,64.0685,-152.2782
2,Arizona,34.2744,-111.6602
3,Arkansas,34.8938,-92.4426
4,California,37.1841,-119.4696
5,Colorado,38.9972,-105.5478
6,Connecticut,41.6219,-72.7273
7,Delaware,38.9896,-75.505
8,District of Columbia,38.9101,-77.0147
9,Florida,28.6305,-82.4497
10,Georgia,32.6415,-83.4426
11,Hawaii,20.2927,-156.3737
12,Idaho,44.3509,-114.613
13,Illinois,40.0417,-89.1965
14,Indiana,39.8942,-86.2816
15,Iowa,42.0751,-93.496
16,Kansas,38.4937,-98.3804
17,Kentucky,37.5347,-85.3021
18,Louisiana,31.0689,-91.9968
19,Maine,45.3695,-69.2428
20,Maryland,39.055,-76.7909
21,Massachusetts,42.2596,-71.8083
22,Michigan,44.3467,-85.4102
23,Minnesota,46.2807,-94.3053
24,Mississippi,32.7364,-89.6678
25,Missouri,38.3566,-92.458
26,Montana,47.0527,-109.6333
27,Nebraska,41.5378,-99.7951
28,Nevada,39.3289,-116.6312
29,New Hampshire,43.6805,-71.5811
30,New Jersey,40.1907,-74.6728
31,New Mexico,34.4071,-106.1126
32,New York,42.9538,-75.5268
33,North Carolina,35.5557,-79.3877
34,North Dakota,47.4501,-100.4659
35,Ohio,40.2862,-82.7937
36,Oklahoma,35.5889,-97.4943
37,Oregon,43.9336,-120.5583
38,Pennsylvania,40.8781,-77.7996
39,Rhode Island,41.6762,-71.5562
40,South Carolina,33.9169,-80.8964
41,South Dakota,44.4443,-100.2263
42,Tennessee,35.858,-86.3505
43,Texas,31.4757,-99.3312
44,Utah,39.3055,-111.6703
45,Vermont,44.0687,-72.6658
46,Virginia,37.5215,-78.8537
47,Washington,47.3826,-120.4472
48,West Virginia,38.6409,-80.6227
49,Wisconsin,44.6243,-89.9941
50,Wyoming,42.9957,-107.5512
