NAME,state#,2021 Labor Force,2021 #  Unemployed,2021 Unempl Rate,2022 Labor Force,2022 #  Unemployed,2022 Unempl Rate,2023 Labor Force,2023 #  Unemployed,2023 Unempl Rate,21-23 Avg Unemp Rate
Alabama,1,4046627,123808,3.059535757,4093740,103239,2.521874863,4115279,96059,2.334203829,2.638538149
Arizona,4,5852913,203756,5.844593785,575934,16484,2.862133508,577598,17505,3.030654538,3.91246061
Arkansas,5,2405035,77486,3.481275051,5961733,153937,2.582084773,6049109,155185,2.565419139,2.876259654
California,6,31507237,1649320,3.221824215,2430600,62359,2.565580515,2452773,59710,2.434387528,2.740597419
Colorado,8,4720626,168571,5.234733849,31552708,1060822,3.36206325,31584340,1110856,3.517110062,4.037969053
Connecticut,9,2971314,129633,3.570945887,4776317,113244,2.370948159,4818044,124336,2.580632306,2.840842118
Delaware,10,819868,27140,4.362817259,2986455,92597,3.100565721,2987218,90743,3.037709334,3.500364104
District of Columbia,11,553437,31749,3.310288973,835365,22272,2.666139951,846414,18092,2.137488274,2.704639066
Florida,12,18010659,592167,5.736696318,557547,20199,3.622833591,564543,21386,3.788196825,4.382575578
Georgia,13,8575918,294785,3.2878697,18459053,434875,2.355890088,18768460,459949,2.450648588,2.698136125
Hawaii,15,1166220,53237,3.43735796,8708310,229718,2.637917116,8818867,247391,2.805246978,2.960174018
Idaho,16,1484932,30858,4.56491914,1175667,25395,2.160050422,1172357,24424,2.083324448,2.936098004
Illinois,17,10203044,482887,2.078074956,1530729,28209,1.842847428,1558313,34894,2.239216383,2.053379589
Indiana,18,5401077,160040,4.732773866,10199598,314814,3.08653341,10192179,313531,3.076192049,3.631833109
Iowa,19,2543525,60198,2.963112727,5456066,124513,2.282102159,5470753,127972,2.339202666,2.528139184
Kansas,20,2315379,65475,2.366715483,2570925,50381,1.959644875,2570587,47173,1.835106145,2.053822168
Kentucky,21,3612858,114655,2.827830778,2330842,54833,2.352497509,2339516,49867,2.131509252,2.43727918
Louisiana,22,3663069,161765,3.173526333,3626511,93466,2.577298125,3633664,89447,2.461620007,2.737481488
Maine,23,1155699,34431,4.41610573,3656541,116744,3.192744181,3635137,104094,2.863550947,3.490800286
Maryland,24,4964751,192275,2.979235943,1170061,23593,2.016390598,1180683,23191,1.964202076,2.319942873
Massachusetts,25,5790261,255238,3.872802483,4974349,130987,2.633249095,4979552,132197,2.654797058,3.053616212
Michigan,26,8156411,342848,4.408056908,5805465,158146,2.724088424,5828175,154107,2.64417249,3.258772607
Minnesota,27,4554126,151805,4.20341741,8179427,234094,2.86198532,8186295,225337,2.752612751,3.272671827
Mississippi,28,2340485,84002,3.3333509,4579443,99831,2.179981277,4602443,95655,2.078352736,2.530561638
Missouri,29,4949628,142497,3.589085168,2341292,64814,2.768300579,2354139,64637,2.745674746,3.034353498
Montana,30,895986,21876,2.87894363,4974792,115407,2.319835684,4997010,108893,2.17916314,2.459314151
Nebraska,31,1534896,27826,2.441556006,916289,17433,1.902565675,924869,15708,1.698402693,2.014174791
Nevada,32,2526328,152875,1.812891557,1547790,24470,1.580963826,1558006,28376,1.821302357,1.738385913
New Hampshire,33,1164253,27923,6.051272836,2572023,88495,3.440676852,2594279,74416,2.868465574,4.120138421
New Jersey,34,7489289,395137,2.398361868,1177400,19642,1.668252081,1184596,20151,1.701086278,1.922566742
New Mexico,35,1700082,74721,5.276028205,7510983,249523,3.322108438,7520182,237647,3.160122986,3.919419876
New York,36,16210453,883908,4.39514094,1710459,47124,2.75504996,1723938,47766,2.770749296,3.306980066
North Carolina,37,8524268,300438,5.452703882,16154241,517238,3.201871261,16085030,506633,3.14971747,3.934764204
North Dakota,38,610714,11627,3.524502045,8671939,200647,2.313750131,8792430,219760,2.499422799,2.779224992
Ohio,39,9480334,322494,1.903837148,617710,8993,1.455861165,622500,12089,1.942008032,1.767235448
Oklahoma,40,3140799,112271,3.401715594,9506533,222415,2.339601619,9520298,243399,2.556632156,2.765983123
Oregon,41,3487919,136281,3.574599966,3178852,79711,2.507540458,3201739,88813,2.773898809,2.952013078
Pennsylvania,42,10602171,420743,3.907229497,3509464,93138,2.653909543,3506067,90337,2.576590807,3.045909949
Rhode Island,44,913136,45296,3.968460799,10660341,287716,2.698938055,10658635,283261,2.657572944,3.108323933
South Carolina,45,4207365,139757,4.960487813,916019,26668,2.911293325,916988,28012,3.054783705,3.642188281
South Dakota,46,699893,12923,3.321722741,4294594,111672,2.600292368,4370726,112785,2.580463749,2.834159619
Tennessee,47,5616708,180846,1.846425096,716965,13309,1.85629703,725788,12742,1.755609076,1.819443734
Texas,48,22934023,910813,3.219786394,5699603,121523,2.132130957,5747865,142081,2.471891737,2.607936363
Utah,49,2507029,59693,3.971448882,23471441,670914,2.858426971,23857262,686054,2.875661088,3.23517898
Vermont,50,542827,14648,2.381025509,2560844,48008,1.874694437,2600950,60649,2.331801842,2.195840596
Virginia,51,6980718,211324,2.698465625,548050,10013,1.827023082,547286,9270,1.693812741,2.073100483
Washington,53,6250868,232094,3.027253071,7041278,161105,2.288007944,7066427,164631,2.329762976,2.54834133
West Virginia,54,1465755,47941,3.71298834,6328051,163479,2.583402062,6357108,182384,2.868977529,3.055122644
Wisconsin,55,4773326,110048,3.270737606,1466266,36582,2.494908836,1464056,35853,2.448881737,2.73817606
Wyoming,56,461622,11171,2.305478402,4802830,86461,1.80020946,4822901,86959,1.803043438,1.9695771
Alaska,2,571832,24603,2.419945323,465883,11409,2.448898114,469355,9522,2.028741571,2.299195003
Puerto Rico,72,2794959,163354,4.302487444,2781341,127753,4.593216006,2777060,119634,4.307937171,4.40121354
